"id,""timestamp"",""device_id"",""device_name"",""current"",""voltage"",""power"",""channel"""
"147,""2026-06-09T11:29:29.927291"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.3"","""""
"146,""2026-06-09T11:29:24.641747"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.5"","""""
"145,""2026-06-09T11:29:19.443581"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.3"","""""
"144,""2026-06-09T11:29:14.196536"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.3"","""""
"143,""2026-06-09T11:29:08.985482"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.5"","""""
"142,""2026-06-09T11:29:03.761769"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.6"","""""
"141,""2026-06-09T11:28:58.606109"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.2"","""""
"140,""2026-06-09T11:28:53.383036"",""esp32-01"",""esp32-01"",""0.02"",""230"",""4.6"","""""
"139,""2026-06-09T11:28:47.932821"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.4"","""""
"138,""2026-06-09T11:28:42.746525"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.2"","""""
"137,""2026-06-09T11:28:37.488344"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.2"","""""
"136,""2026-06-09T11:28:32.268511"",""esp32-01"",""esp32-01"",""8.069"",""230"",""1855.8"","""""
"135,""2026-06-09T11:28:27.066413"",""esp32-01"",""esp32-01"",""8.077"",""230"",""1857.8"","""""
"134,""2026-06-09T11:28:21.844433"",""esp32-01"",""esp32-01"",""8.078"",""230"",""1858"","""""
"133,""2026-06-09T11:28:16.604146"",""esp32-01"",""esp32-01"",""8.398"",""230"",""1931.4"","""""
"132,""2026-06-09T11:28:11.193811"",""esp32-01"",""esp32-01"",""8.109"",""230"",""1865.2"","""""
"131,""2026-06-09T11:28:06.001006"",""esp32-01"",""esp32-01"",""8.132"",""230"",""1870.5"","""""
"130,""2026-06-09T11:28:00.796454"",""esp32-01"",""esp32-01"",""8.203"",""230"",""1886.7"","""""
"129,""2026-06-09T11:27:55.730728"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.6"","""""
"128,""2026-06-09T11:27:50.282588"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.7"","""""
"127,""2026-06-09T11:27:45.096559"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.2"","""""
"126,""2026-06-09T11:27:39.883114"",""esp32-01"",""esp32-01"",""8.114"",""230"",""1866.2"","""""
"125,""2026-06-09T11:27:34.615106"",""esp32-01"",""esp32-01"",""8.154"",""230"",""1875.5"","""""
"124,""2026-06-09T11:27:29.415415"",""esp32-01"",""esp32-01"",""0.013"",""230"",""2.9"","""""
"123,""2026-06-09T11:27:24.192404"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.3"","""""
"122,""2026-06-09T11:27:18.970641"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.3"","""""
"121,""2026-06-09T11:27:13.793715"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.6"","""""
"120,""2026-06-09T11:27:08.525578"",""esp32-01"",""esp32-01"",""8.052"",""230"",""1852"","""""
"119,""2026-06-09T11:27:03.419085"",""esp32-01"",""esp32-01"",""8.095"",""230"",""1861.9"","""""
"118,""2026-06-09T11:26:58.388368"",""esp32-01"",""esp32-01"",""8.133"",""230"",""1870.6"","""""
"117,""2026-06-09T11:26:52.982685"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.2"","""""
"116,""2026-06-09T11:26:47.736836"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.2"","""""
"115,""2026-06-09T11:26:42.352491"",""esp32-01"",""esp32-01"",""0.002"",""230"",""0.5"","""""
"114,""2026-06-09T11:26:37.133623"",""esp32-01"",""esp32-01"",""1.235"",""230"",""284.1"","""""
"113,""2026-06-09T11:26:31.770605"",""esp32-01"",""esp32-01"",""0.007"",""230"",""1.5"","""""
"112,""2026-06-09T11:26:26.543272"",""esp32-01"",""esp32-01"",""0.008"",""230"",""1.7"","""""
"111,""2026-06-09T11:26:21.386453"",""esp32-01"",""esp32-01"",""0.007"",""230"",""1.6"","""""
"110,""2026-06-09T11:26:16.084551"",""esp32-01"",""esp32-01"",""0.008"",""230"",""1.8"","""""
"109,""2026-06-09T11:26:10.872879"",""esp32-01"",""esp32-01"",""0.006"",""230"",""1.5"","""""
"108,""2026-06-09T11:26:05.639593"",""esp32-01"",""esp32-01"",""0.008"",""230"",""1.7"","""""
"107,""2026-06-09T11:26:00.417458"",""esp32-01"",""esp32-01"",""1.562"",""230"",""359.3"","""""
"106,""2026-06-09T11:25:55.020293"",""esp32-01"",""esp32-01"",""0.007"",""230"",""1.5"","""""
"105,""2026-06-09T11:25:49.882536"",""esp32-01"",""esp32-01"",""0.007"",""230"",""1.7"","""""
"104,""2026-06-09T11:25:44.576129"",""esp32-01"",""esp32-01"",""0.006"",""230"",""1.5"","""""
"103,""2026-06-09T11:25:39.352314"",""esp32-01"",""esp32-01"",""0.008"",""230"",""1.7"","""""
"102,""2026-06-09T11:25:34.213953"",""esp32-01"",""esp32-01"",""0.006"",""230"",""1.5"","""""
"101,""2026-06-09T11:25:28.907241"",""esp32-01"",""esp32-01"",""0.007"",""230"",""1.6"","""""
"100,""2026-06-09T11:25:23.771650"",""esp32-01"",""esp32-01"",""0.007"",""230"",""1.7"","""""
"99,""2026-06-09T11:25:18.547991"",""esp32-01"",""esp32-01"",""0.007"",""230"",""1.6"","""""
"98,""2026-06-09T11:25:13.324166"",""esp32-01"",""esp32-01"",""0.007"",""230"",""1.6"","""""
"97,""2026-06-09T11:25:08.205754"",""esp32-01"",""esp32-01"",""0.007"",""230"",""1.7"","""""
"96,""2026-06-09T11:25:02.982060"",""esp32-01"",""esp32-01"",""2.258"",""230"",""519.2"","""""
"95,""2026-06-09T11:24:57.573091"",""esp32-01"",""esp32-01"",""2.257"",""230"",""519.1"","""""
"94,""2026-06-09T11:24:52.349895"",""esp32-01"",""esp32-01"",""2.258"",""230"",""519.4"","""""
"93,""2026-06-09T11:24:47.330400"",""esp32-01"",""esp32-01"",""2.257"",""230"",""519.1"","""""
"92,""2026-06-09T11:24:41.905706"",""esp32-01"",""esp32-01"",""2.258"",""230"",""519.3"","""""
"91,""2026-06-09T11:24:36.767591"",""esp32-01"",""esp32-01"",""2.242"",""230"",""515.7"","""""
"90,""2026-06-09T11:24:31.398317"",""esp32-01"",""esp32-01"",""2.259"",""230"",""519.5"","""""
"89,""2026-06-09T11:24:26.177226"",""esp32-01"",""esp32-01"",""2.26"",""230"",""519.8"","""""
"88,""2026-06-09T11:24:20.953768"",""esp32-01"",""esp32-01"",""2.258"",""230"",""519.5"","""""
"87,""2026-06-09T11:24:15.781367"",""esp32-01"",""esp32-01"",""2.26"",""230"",""519.8"","""""
"86,""2026-06-09T11:24:10.657191"",""esp32-01"",""esp32-01"",""2.261"",""230"",""520.1"","""""
